SN1 SN2 SN3 SN4
0.0601054484731903 0.132247351467229 0.119711729122072 0.230869634158949
0.0727616516515059 0.171123295967739 0.160105568452786 0.310386752296495
-0.0129464976172302 -0.00876145127801863 -0.000325721017452364 -0.000887989394850815
-0.110040925172305 -0.26897965375849 -0.230263215714186 -0.473576774528764
0.132101641115117 0.301335458833923 0.283600265647735 0.54750539266377
-0.0978096665329483 -0.211470721833428 -0.13477694837827 -0.20581626988879
-0.059280027500943 -0.132559977509146 -0.106717576000987 -0.208770353570405
0.0536297830615447 0.110250143414844 0.0772385017486566 0.127534044739317
0.13278924019584 0.306194679574153 0.371043759312082 0.838448562445182
0.053624949855487 0.109907710455405 0.0773637192362639 0.127324424990202
-0.014535791703319 -0.0127742941974446 0.000308999427503772 -0.000570637665261219
-0.11099291572822 -0.308123513924632 -0.0358258120529066 -0.040452421389286
0.245210972465224 0.472852186307692 0.0265895835071955 0.00448857522746685
0.146209316487999 0.330569509187017 0.047275045811328 0.0487462401318284
-0.0826414045055148 -0.440081659070854 -0.25658898697419 -0.378361055848391
0.146217397004378 0.330207964150894 0.0466988120438137 0.0460515071340182
-0.0134524738765218 -0.026916042627654 -0.0336545719276809 -0.0440043789686879
-0.00442419599617266 -0.0351926611209943 -0.237764909844573 -0.8326505667452
0.00691193777730393 0.0471418681530123 0.500709812050112 1.03288416705977
0.0139762725831547 0.0478394094388101 0.331376414734009 0.827176952369231
-0.0128313313791086 -0.0306842905760536 -0.157257842795119 -0.892422670601916
0.0139778584788923 0.0478394094388101 0.331117580076393 0.825898282926458
