SN1 SN2 SN3 SN4
-0.0601038625774526 -0.132513138067325 -0.115243953609174 -0.235031319462042
-0.0715388505186035 -0.174051553291947 -0.152247276694638 -0.311919975758651
0.00748603203448947 0.00874451778002436 0.00266394371777834 0.000767245772926301
0.155912279726632 0.353570546883657 0.33566040830701 0.646132201364633
-0.125170294994732 -0.309871526243901 -0.263882711190373 -0.542614366263593
0.130087402490068 0.265304936154276 0.163838449530632 0.231082672220652
0.0677244691931445 0.148843169764655 0.122960228514919 0.224014263405464
-0.0625235618795381 -0.130224937259409 -0.0888380742670362 -0.157110222496863
-0.119452008076288 -0.324912780107041 -0.33257142510489 -0.934807803169592
-0.0624716049144046 -0.130224937259409 -0.0889132047595955 -0.156867522303387
0.0144887434630882 0.0127531025683765 0.00134449360764915 0.000573063564515121
-0.125170294994732 -0.309871526243901 -0.263882711190373 -0.542614366263593
-0.228866957545119 -0.520566079906106 -0.0190236473614167 -0.0104487891564946
-0.153166641090953 -0.370208847465526 -0.0411788207608056 -0.0452345304263997
0.105088097263439 0.389011962080451 0.258129706495654 0.373576576046099
-0.144791903292381 -0.370208847465526 -0.0406527517631701 -0.0465700982334826
0.0120626250592059 0.0262185013418561 0.0330198514827332 0.0440611670648445
0.0043106156537868 0.030652404106145 0.357172617128711 0.90110557050424
-0.0114334020454132 -0.0975012989775435 -0.448071763464319 -1.1599755127524
-0.0217948140907303 -0.0792914509502421 -0.309844140004348 -1.01213524054776
0.00860990348087415 0.0298592034106249 0.232592338758569 0.738625895680598
-0.0261475692598436 -0.0792914509502421 -0.309733077537077 -1.01209380039944
